Scientific_Name,Common_Name,Guild,Lower_Guild,Common_Birds
Accipiter cooperii,Cooper's Hawk,Raptor,Raptor,Other
Accipiter gentilis,Northern Goshawk,Raptor,Raptor,Other
Accipiter striatus,Sharp-shinned Hawk,Raptor,Raptor,Other
Acris crepitans,Northern Cricket Frog,Anuran,Anuran,Other
Acris gryllus,Southern Cricket Frog,Anuran,Anuran,Other
Actitis macularius,Spotted Sandpiper,Shorebird,Shorebird,Other
Aegolius acadicus,Northern Saw-whet Owl,Raptor,Raptor,Other
Agelaius phoeniceus,Red-winged Blackbird,Passerine,Passerine,RWBL
Aix galericulata,Mandarin Duck,Dabbling Duck,Duck,Other
Aix sponsa,Wood Duck,Dabbling Duck,Duck,Other
Allonemobius allardi,Allard's Ground Cricket,Arthropod,Arthropod,Other
Allonemobius tinnulus,Tinkling Ground Cricket,Arthropod,Arthropod,Other
Allonemobius walkeri,Walker's Ground Cricket,Arthropod,Arthropod,Other
Amblycorypha alexanderi,Clicker Round-winged Katydid,Arthropod,Arthropod,Other
Amblycorypha longinicta,Common Virtuoso Katydid,Arthropod,Arthropod,Other
Amblycorypha oblongifolia,Oblong-winged Katydid,Arthropod,Arthropod,Other
Amblycorypha rotundifolia,Rattler Round-winged Katydid,Arthropod,Arthropod,Other
Ammodramus savannarum,Grasshopper Sparrow,Passerine,Passerine,Other
Ammodramus nelsoni,Nelson's Sparrow,Passerine,Passerine,Other
Ammospiza maritima,Seaside Sparrow,Passerine,Passerine,SESP
Ammospiza nelsoni,Nelson's Sparrow,Passerine,Passerine,Other
Anas acuta,Northern Pintail,Dabbling Duck,Duck,Other
Anas crecca,Green-winged Teal,Dabbling Duck,Duck,GWTE
Anas platyrhynchos,Mallard,Dabbling Duck,Duck,Other
Anas rubripes,American Black Duck,Dabbling Duck,Duck,Other
Anaxyrus americanus,American Toad,Anuran,Anuran,Other
Anaxyrus fowleri,Fowler's Toad,Anuran,Anuran,Other
Anser albifrons,Greater White-fronted Goose,Goose,Goose,Other
Anser anser,Graylag Goose,Goose,Goose,Other
Anser caerulescens,Snow Goose,Goose,Goose,Other
Antrostomus carolinensis,Chuck-will's-widow,Nightjar,Nightjar,CWWI
Antrostomus vociferus,Eastern Whip-poor-will,Nightjar,Nightjar,EWPW
Aquila chrysaetos,Golden Eagle,Raptor,Raptor,Other
Archilochus colubris,Ruby-throated Hummingbird,Aerial Foraging Bird,Aerial Foraging Bird,Other
Ardea alba,Great Egret,Wading Bird,Wading Bird,Other
Ardea herodias,Great Blue Heron,Wading Bird,Wading Bird,Other
Arenaria interpres,Ruddy Turnstone,Shorebird,Shorebird,Other
Asio flammeus,Short-eared Owl,Raptor,Raptor,Other
Asio otus,Long-eared Owl,Raptor,Raptor,Other
Aythya affinis,Lesser Scaup,Diving Duck,Duck,Other
Aythya collaris,Ring-necked Duck,Diving Duck,Duck,Other
Aythya fuligula,Tufted Duck,Diving Duck,Duck,Other
Aythya marila,Greater Scaup,Diving Duck,Duck,Other
Aythya valisineria,Canvasback,Diving Duck,Duck,Other
Baeolophus bicolor,Tufted Titmouse,Passerine,Passerine,Other
Bartramia longicauda,Upland Sandpiper,Shorebird,Shorebird,Other
Bombycilla cedrorum,Cedar Waxwing,Passerine,Passerine,Other
Botaurus lentiginosus,American Bittern,Wading Bird,Wading Bird,Other
Branta bernicla,Brant,Goose,Goose,Other
Branta canadensis,Canada Goose,Goose,Goose,CAGO
Branta hutchinsii,Cackling Goose,Goose,Goose,Other
Bubo virginianus,Great Horned Owl,Raptor,Raptor,Other
Bubulcus ibis,Cattle Egret,Wading Bird,Wading Bird,Other
Bucephala albeola,Bufflehead,Diving Duck,Duck,Other
Bucephala clangula,Common Goldeneye,Diving Duck,Duck,Other
Buteo jamaicensis,Red-tailed Hawk,Raptor,Raptor,Other
Buteo lineatus,Red-shouldered Hawk,Raptor,Raptor,Other
Buteo platypterus,Broad-winged Hawk,Raptor,Raptor,Other
Butorides virescens,Green Heron,Wading Bird,Wading Bird,Other
Calcarius lapponicus,Lapland Longspur,Passerine,Passerine,Other
Calidris alba,Sanderling,Shorebird,Shorebird,Other
Calidris alpina,Dunlin,Shorebird,Shorebird,Other
Calidris canutus,Red Knot,Shorebird,Shorebird,Other
Calidris ferruginea,Curlew Sandpiper,Shorebird,Shorebird,Other
Calidris himantopus,Stilt Sandpiper,Shorebird,Shorebird,Other
Calidris maritima,Purple Sandpiper,Shorebird,Shorebird,Other
Calidris melanotos,Pectoral Sandpiper,Shorebird,Shorebird,Other
Calidris minutilla,Least Sandpiper,Shorebird,Shorebird,Other
Calidris pusilla,Semipalmated Sandpiper,Shorebird,Shorebird,Other
Canis latrans,Coyote,Mammal,Mammal,Other
Cardinalis cardinalis,Northern Cardinal,Passerine,Passerine,Other
Catharus fuscescens,Veery,Passerine,Passerine,Other
Catharus guttatus,Hermit Thrush,Passerine,Passerine,Other
Catharus minimus,Gray-cheeked Thrush,Passerine,Passerine,Other
Catharus ustulatus,Swainson's Thrush,Passerine,Passerine,Other
Centronyx henslowii,Henslow's Sparrow,Passerine,Passerine,Other
Certhia americana,Brown Creeper,Passerine,Passerine,Other
Chaetura pelagica,Chimney Swift,Aerial Foraging Bird,Aerial Foraging Bird,Other
Charadrius melodus,Piping Plover,Shorebird,Shorebird,Other
Charadrius nivosus,Snowy Plover,Shorebird,Shorebird,Other
Charadrius semipalmatus,Semipalmated Plover,Shorebird,Shorebird,Other
Charadrius vociferus,Killdeer,Shorebird,Shorebird,Other
Charadrius wilsonia,Wilson's Plover,Shorebird,Shorebird,Other
Chordeiles minor,Common Nighthawk,Nightjar,Nightjar,Other
Chroicocephalus philadelphia,Bonaparte's Gull,Gull/Tern,Gull/Tern,Other
Chroicocephalus ridibundus,Black-headed Gull,Gull/Tern,Gull/Tern,Other
Circus hudsonius,Northern Harrier,Raptor,Raptor,Other
Cistothorus palustris,Marsh Wren,Passerine,Passerine,MAWR
Cistothorus stellaris,Sedge Wren,Passerine,Passerine,Other
Clangula hyemalis,Long-tailed Duck,Diving Duck,Duck,Other
Coccothraustes vespertinus,Evening Grosbeak,Passerine,Passerine,Other
Coccyzus americanus,Yellow-billed Cuckoo,Passerine,Passerine,Other
Coccyzus erythropthalmus,Black-billed Cuckoo,Passerine,Passerine,Other
Colaptes auratus,Northern Flicker,Woodpecker,Woodpecker,Other
Colinus virginianus,Northern Bobwhite,Quail,Quail,Other
Columba livia,Rock Pigeon,Dove/Pigeon,Dove/Pigeon,Other
Conocephalus brevipennis,Short-winged Meadow Katydid,Arthropod,Arthropod,Other
Conocephalus fasciatus,Slender Meadow Katydid,Arthropod,Arthropod,Other
Contopus virens,Eastern Wood-Pewee,Passerine,Passerine,Other
Coragyps atratus,Black Vulture,Raptor,Raptor,Other
Corthylio calendula,Ruby-crowned Kinglet,Passerine,Passerine,Other
Corvus brachyrhynchos,American Crow,Corvid,Corvid,Other
Corvus corax,Common Raven,Corvid,Corvid,Other
Corvus ossifragus,Fish Crow,Corvid,Corvid,Other
Coturnicops noveboracensis,Yellow Rail,Rail,Rail,Other
Cyanocitta cristata,Blue Jay,Corvid,Corvid,Other
Cygnus buccinator,Trumpeter Swan,Swan,Swan,Other
Cygnus columbianus,Tundra Swan,Swan,Swan,Other
Cygnus olor,Mute Swan,Swan,Swan,Other
Dendrocygna autumnalis,Black-bellied Whistling-Duck,Whistling Duck,Duck,Other
Dog,Dog,Mammal,Mammal,Other
Dolichonyx oryzivorus,Bobolink,Passerine,Passerine,Other
Dryobates pubescens,Downy Woodpecker,Woodpecker,Woodpecker,Other
Dryobates villosus,Hairy Woodpecker,Woodpecker,Woodpecker,Other
Dryocopus pileatus,Pileated Woodpecker,Woodpecker,Woodpecker,Other
Dryophytes andersonii,Pine Barrens Treefrog,Anuran,Anuran,Other
Dryophytes versicolor,Gray Treefrog,Anuran,Anuran,Other
Dumetella carolinensis,Gray Catbird,Passerine,Passerine,Other
Egretta caerulea,Little Blue Heron,Wading Bird,Wading Bird,Other
Egretta thula,Snowy Egret,Wading Bird,Wading Bird,Other
Egretta tricolor,Tricolored Heron,Wading Bird,Wading Bird,Other
Elanoides forficatus,Swallow-tailed Kite,Raptor,Raptor,Other
Empidonax alnorum,Alder Flycatcher,Passerine,Passerine,Other
Empidonax traillii,Willow Flycatcher,Passerine,Passerine,Other
Empidonax virescens,Acadian Flycatcher,Passerine,Passerine,Other
Engine,Engine,Anthrophony,Anthrophony,Other
Environmental,Environmental,Geophony,Geophony,Other
Eremophila alpestris,Horned Lark,Passerine,Passerine,Other
Eudocimus albus,White Ibis,Wading Bird,Wading Bird,Other
Eunemobius carolinus,Carolina Ground Cricket,Arthropod,Arthropod,Other
Eunemobius confusus,Confused Ground Cricket,Arthropod,Arthropod,Other
Falco columbarius,Merlin,Raptor,Raptor,Other
Falco peregrinus,Peregrine Falcon,Raptor,Raptor,Other
Falco sparverius,American Kestrel,Raptor,Raptor,Other
